date,price_open,price_close,volume
2023/06/01,550.00,551.00,"24,927"
2023/06/02,559.00,562.00,"31,324"
2023/06/05,560.00,555.00,"17,229"
2023/06/06,554.00,560.00,"20,632"
2023/06/07,561.00,568.00,"28,668"
2023/06/08,562.00,559.00,"23,666"
2023/06/09,561.00,565.00,"19,542"
2023/06/12,574.00,574.00,"27,996"
2023/06/13,593.00,593.00,"60,717"
2023/06/14,590.00,590.00,"24,246"
2023/06/15,590.00,591.00,"28,422"
2023/06/16,590.00,589.00,"38,842"
2023/06/19,583.00,583.00,"14,681"
2023/06/20,579.00,583.00,"16,640"
2023/06/21,582.00,581.00,"22,288"
2023/06/26,576.00,574.00,"27,700"
2023/06/27,570.00,572.00,"21,877"
2023/06/28,579.00,574.00,"18,441"
2023/06/29,578.00,573.00,"17,302"
2023/06/30,570.00,576.00,"23,022"
2023/07/03,578.00,579.00,"15,118"
2023/07/04,585.00,585.00,"17,167"
2023/07/05,589.00,582.00,"15,200"
2023/07/06,573.00,565.00,"30,250"
2023/07/07,565.00,565.00,"19,278"
2023/07/10,567.00,565.00,"18,745"
2023/07/11,574.00,577.00,"18,301"
2023/07/12,574.00,578.00,"15,809"
2023/07/13,587.00,585.00,"26,699"
2023/07/14,589.00,591.00,"24,070"
2023/07/17,588.00,591.00,"14,150"
2023/07/18,587.00,581.00,"21,563"
2023/07/19,584.00,581.00,"22,981"
2023/07/20,580.00,579.00,"15,543"
2023/07/21,560.00,560.00,"49,410"
2023/07/24,557.00,558.00,"25,997"
2023/07/25,561.00,569.00,"20,003"
2023/07/26,569.00,566.00,"13,856"
2023/07/27,570.00,569.00,"12,393"
2023/07/28,569.00,567.00,"18,948"
2023/07/31,575.00,565.00,"24,795"
2023/08/01,565.00,567.00,"16,490"
2023/08/02,567.00,561.00,"26,331"
2023/08/04,556.00,554.00,"27,580"
2023/08/07,558.00,558.00,"14,588"
2023/08/08,558.00,552.00,"19,863"
2023/08/09,550.00,554.00,"14,678"
2023/08/10,552.00,551.00,"18,337"
2023/08/11,556.00,546.00,"18,521"
2023/08/14,540.00,541.00,"22,037"
2023/08/15,543.00,542.00,"14,547"
2023/08/16,541.00,542.00,"28,134"
2023/08/17,540.00,544.00,"23,154"
2023/08/18,540.00,539.00,"18,059"
2023/08/21,544.00,537.00,"17,455"
2023/08/22,544.00,541.00,"14,853"
2023/08/23,546.00,552.00,"21,065"
2023/08/24,563.00,564.00,"24,119"
2023/08/25,549.00,546.00,"25,261"
2023/08/28,547.00,549.00,"9,172"
2023/08/29,551.00,552.00,"10,700"
2023/08/30,558.00,555.00,"15,429"
2023/08/31,553.00,549.00,"40,854"
2023/09/01,543.00,548.00,"13,858"
2023/09/04,549.00,557.00,"9,772"
2023/09/05,553.00,552.00,"12,459"
2023/09/06,556.00,550.00,"14,269"
2023/09/07,546.00,542.00,"21,825"
2023/09/08,535.00,539.00,"16,332"
2023/09/11,539.00,536.00,"15,509"
2023/09/12,536.00,544.00,"16,500"
2023/09/13,545.00,541.00,"16,543"
2023/09/14,544.00,550.00,"17,610"
2023/09/15,549.00,558.00,"42,871"
2023/09/18,548.00,540.00,"38,235"
2023/09/19,539.00,538.00,"20,277"
2023/09/20,536.00,535.00,"26,108"
2023/09/21,530.00,527.00,"35,124"
2023/09/22,523.00,522.00,"31,219"
2023/09/25,522.00,525.00,"17,673"
2023/09/26,521.00,519.00,"28,495"
2023/09/27,517.00,522.00,"17,325"
2023/09/28,523.00,523.00,"19,652"
2023/10/02,530.00,533.00,"25,877"
2023/10/03,528.00,529.00,"14,848"
2023/10/04,521.00,520.00,"29,756"
2023/10/05,523.00,528.00,"25,244"
2023/10/06,530.00,532.00,"15,596"
2023/10/11,542.00,544.00,"48,166"
2023/10/12,545.00,550.00,"35,359"
2023/10/13,550.00,553.00,"32,180"
2023/10/16,546.00,545.00,"20,270"
2023/10/17,550.00,551.00,"18,994"
2023/10/18,549.00,540.00,"26,338"
2023/10/19,540.00,546.00,"23,293"
2023/10/20,549.00,556.00,"47,283"
2023/10/23,552.00,544.00,"23,122"
2023/10/24,543.00,544.00,"15,330"
2023/10/25,544.00,544.00,"16,727"
2023/10/26,530.00,531.00,"29,412"
